retrieved_at,car_park,occupied,vacant,total_occupied,total_vacant
2026-07-13 15:30:42,E,934,411,5485,3759
2026-07-13 15:30:42,A,1243,1982,5485,3759
2026-07-13 15:30:42,C,1362,686,5485,3759
2026-07-13 16:00:47,B,731,349,5157,4087
2026-07-13 16:00:47,F,1113,433,5157,4087
2026-07-13 16:00:47,E,875,470,5157,4087
2026-07-13 16:00:47,A,1164,2061,5157,4087
2026-07-13 16:00:47,C,1274,774,5157,4087
2026-07-13 16:30:42,B,652,428,4669,4575
2026-07-13 16:30:42,F,1041,505,4669,4575
2026-07-13 16:30:42,E,796,549,4669,4575
2026-07-13 16:30:42,A,997,2228,4669,4575
2026-07-13 16:30:42,C,1183,865,4669,4575
2026-07-13 17:00:48,B,575,505,4015,5229
2026-07-13 17:00:48,F,919,627,4015,5229
2026-07-13 17:00:48,E,702,643,4015,5229
2026-07-13 17:00:48,A,805,2420,4015,5229
2026-07-13 17:00:48,C,1014,1034,4015,5229
2026-07-13 17:30:42,B,454,626,3018,6226
2026-07-13 17:30:42,F,721,825,3018,6226
2026-07-13 17:30:42,E,549,796,3018,6226
2026-07-13 17:30:42,A,586,2639,3018,6226
2026-07-13 17:30:42,C,708,1340,3018,6226
2026-07-13 17:59:24,B,321,759,1975,7269
2026-07-13 17:59:24,F,432,1114,1975,7269
2026-07-13 17:59:24,E,416,929,1975,7269
2026-07-13 17:59:24,A,350,2875,1975,7269
2026-07-13 17:59:24,C,456,1592,1975,7269
2026-07-13 18:00:49,B,321,759,1952,7292
2026-07-13 18:00:49,F,425,1121,1952,7292
2026-07-13 18:00:49,E,410,935,1952,7292
2026-07-13 18:00:49,A,346,2879,1952,7292
2026-07-13 18:00:49,C,450,1598,1952,7292
2026-07-13 18:30:44,B,279,801,1441,7803
2026-07-13 18:30:44,F,326,1220,1441,7803
2026-07-13 18:30:44,E,332,1013,1441,7803
2026-07-13 18:30:44,A,177,3048,1441,7803
2026-07-13 18:30:44,C,327,1721,1441,7803
2026-07-13 19:00:47,B,279,801,1277,7967
2026-07-13 19:00:47,F,292,1254,1277,7967
2026-07-13 19:00:47,E,286,1059,1277,7967
2026-07-13 19:00:47,A,142,3083,1277,7967
2026-07-13 19:00:47,C,278,1770,1277,7967
2026-07-13 19:30:52,B,259,821,1115,8129
2026-07-13 19:30:52,F,269,1277,1115,8129
2026-07-13 19:30:52,E,235,1110,1115,8129
2026-07-13 19:30:52,A,110,3115,1115,8129
2026-07-13 19:30:52,C,242,1806,1115,8129
2026-07-13 20:00:48,B,246,834,997,8247
2026-07-13 20:00:48,F,245,1301,997,8247
2026-07-13 20:00:48,E,185,1160,997,8247
2026-07-13 20:00:48,A,102,3123,997,8247
2026-07-13 20:00:48,C,219,1829,997,8247
2026-07-13 20:30:44,B,196,884,849,8395
2026-07-13 20:30:44,F,225,1321,849,8395
2026-07-13 20:30:44,E,161,1184,849,8395
2026-07-13 20:30:44,A,90,3135,849,8395
2026-07-13 20:30:44,C,177,1871,849,8395
2026-07-13 20:59:24,B,187,893,740,8504
2026-07-13 20:59:24,F,194,1352,740,8504
2026-07-13 20:59:24,E,127,1218,740,8504
2026-07-13 20:59:24,A,81,3144,740,8504
2026-07-13 20:59:24,C,151,1897,740,8504
2026-07-13 21:00:48,B,184,896,734,8510
2026-07-13 21:00:48,F,193,1353,734,8510
2026-07-13 21:00:48,E,126,1219,734,8510
2026-07-13 21:00:48,A,82,3143,734,8510
2026-07-13 21:00:48,C,149,1899,734,8510
2026-07-13 21:30:41,B,146,934,613,8631
2026-07-13 21:30:41,F,164,1382,613,8631
2026-07-13 21:30:41,E,90,1255,613,8631
2026-07-13 21:30:41,A,72,3153,613,8631
2026-07-13 21:30:41,C,141,1907,613,8631
2026-07-13 22:00:47,B,113,967,524,8720
